58 1
206 131 169
227 116 197
165 217 195
219 126 237
46 106 83
255 118 0
205 73 102
114 26 168
205 73 102
220 62 189
90 251 169
232 106 247
219 126 237
255 118 0
85 31 37
43 7 222
43 7 222
192 37 121
70 79 3
167 9 250
208 25 126
192 92 80
232 106 247
58 120 204
46 106 83
54 193 79
64 153 14
46 106 83
130 34 218
144 186 77
90 251 169
198 28 43
49 57 196
29 136 103
58 120 204
205 73 102
130 34 218
130 34 218
238 245 74
217 201 218
85 31 37
208 25 126
165 217 195
130 34 218
192 37 121
167 9 250
64 153 14
145 15 162
117 49 132
238 245 74
190 127 239
17 44 104
90 251 169
205 73 102
97 73 207
119 236 42
119 236 42
255 118 0
